city,year,drought_risk_score,flood_risk_score,heatwave_risk_score,cyclone_risk_score,landslide_risk_score,composite_score,composite_category
Nagpur,2022,1.1,28.16,98.95,0.0,0.0,28.51,MEDIUM
Nagpur,2023,2.76,55.01,98.22,0.0,0.0,36.84,MEDIUM
Ooty,2015,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2016,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2017,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2018,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2019,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Ooty,2020,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2021,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2022,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Ooty,2023,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Patna,2015,80.01,3.01,98.87,0.0,0.0,40.68,MEDIUM
Patna,2016,60.8,6.66,97.8,0.0,0.0,36.76,MEDIUM
Patna,2017,1.74,0.89,24.91,0.0,0.0,5.68,LOW
Patna,2018,2.31,0.46,96.58,0.0,0.0,20.03,LOW
Patna,2019,9.64,75.57,98.95,0.0,0.0,44.87,MEDIUM
Patna,2020,0.96,0.72,17.21,0.0,0.0,3.9,LOW
Patna,2021,6.39,89.11,5.94,0.0,0.0,29.52,MEDIUM
Patna,2022,4.13,2.35,96.58,0.0,0.0,21.05,LOW
Patna,2023,1.43,2.74,98.95,0.0,0.0,20.97,LOW
Puducherry,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Puducherry,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Pune,2015,10.07,2.92,1.2,0.0,0.0,3.63,LOW
Pune,2016,1.14,91.98,1.26,0.0,0.0,28.13,MEDIUM
Pune,2017,6.75,33.82,1.2,0.0,0.0,12.07,LOW
Pune,2018,0.97,1.17,1.2,0.0,0.0,0.83,LOW
Pune,2019,1.03,64.47,15.47,0.0,0.0,22.69,LOW
Pune,2020,1.81,19.66,1.2,0.0,0.0,6.59,LOW
Pune,2021,10.79,5.44,1.2,0.0,0.0,4.57,LOW
Pune,2022,5.21,2.75,6.01,0.0,0.0,3.33,LOW
Pune,2023,0.61,1.47,1.2,0.0,0.0,0.83,LOW
Shillong,2015,0.0,0.0,0.0,0.0,97.3,9.73,LOW
Shillong,2016,0.0,0.0,0.0,0.0,89.8,8.98,LOW
Shillong,2017,0.0,0.0,0.0,0.0,38.32,3.83,LOW
Shillong,2018,0.0,0.0,0.0,0.0,1.75,0.18,LOW
Shillong,2019,0.0,0.0,0.0,0.0,1.75,0.18,LOW
Shillong,2020,0.0,0.0,0.0,0.0,1.75,0.18,LOW
Shillong,2021,0.0,0.0,0.0,0.0,1.75,0.18,LOW
Shillong,2022,0.0,0.0,0.0,0.0,1.75,0.18,LOW
Shillong,2023,0.0,0.0,0.0,0.0,1.75,0.18,LOW
Shimla,2015,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Shimla,2016,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Shimla,2017,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Shimla,2018,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Shimla,2019,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Shimla,2020,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Shimla,2021,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Shimla,2022,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Shimla,2023,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Srinagar,2015,0.0,86.97,1.2,0.0,0.0,26.33,MEDIUM
Srinagar,2016,0.0,6.37,1.2,0.0,0.0,2.15,LOW
Srinagar,2017,0.0,86.77,1.2,0.0,0.0,26.27,MEDIUM
Srinagar,2018,0.0,0.78,1.2,0.0,0.0,0.47,LOW
Srinagar,2019,0.0,0.78,1.2,0.0,0.0,0.47,LOW
Srinagar,2020,0.0,8.2,1.2,0.0,0.0,2.7,LOW
Srinagar,2021,0.0,0.77,1.2,0.0,0.0,0.47,LOW
Srinagar,2022,0.0,0.72,1.2,0.0,0.0,0.46,LOW
Srinagar,2023,0.0,0.78,1.2,0.0,0.0,0.47,LOW
Surat,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Surat,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Varanasi,2015,0.0,10.59,98.95,0.0,0.0,22.97,LOW
Varanasi,2016,0.0,59.7,98.87,0.0,0.0,37.68,MEDIUM
Varanasi,2017,0.0,7.08,98.95,0.0,0.0,21.91,LOW
Varanasi,2018,0.0,13.18,98.95,0.0,0.0,23.74,LOW
Varanasi,2019,0.0,21.5,98.95,0.0,0.0,26.24,MEDIUM
Varanasi,2020,0.0,24.93,98.95,0.0,0.0,27.27,MEDIUM
Varanasi,2021,0.0,78.98,14.44,0.0,0.0,26.58,MEDIUM
Varanasi,2022,0.0,41.18,98.95,0.0,0.0,32.14,MEDIUM
Varanasi,2023,0.0,31.95,98.95,0.0,0.0,29.38,MEDIUM
Visakhapatnam,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Visakhapatnam,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
